,Date,ReacEc_L1
0,2022-06-27T22:38:00Z,112.64000000002466
1,2022-06-27T22:39:00Z,112.64000000003486
2,2022-06-27T22:40:00Z,112.64000000003486
3,2022-06-27T22:41:00Z,112.64000000002466
4,2022-06-27T22:42:00Z,112.64
5,2022-06-27T22:43:00Z,112.64
6,2022-06-27T22:44:00Z,112.64
7,2022-06-27T22:45:00Z,112.64
8,2022-06-27T22:46:00Z,112.64
9,2022-06-27T22:47:00Z,112.64
10,2022-06-27T22:48:00Z,112.64
11,2022-06-27T22:49:00Z,112.64
12,2022-06-27T22:50:00Z,112.64
13,2022-06-27T22:51:00Z,112.64
14,2022-06-27T22:52:00Z,112.64
15,2022-06-27T22:53:00Z,112.64
16,2022-06-27T22:54:00Z,112.64
17,2022-06-27T22:55:00Z,112.64
18,2022-06-27T22:56:00Z,112.64
19,2022-06-27T22:57:00Z,112.64
20,2022-06-27T22:58:00Z,112.64
21,2022-06-27T22:59:00Z,112.64
22,2022-06-27T23:00:00Z,112.64
23,2022-06-27T23:01:00Z,112.64
24,2022-06-27T23:02:00Z,112.64
25,2022-06-27T23:03:00Z,112.64
26,2022-06-27T23:04:00Z,112.64
27,2022-06-27T23:05:00Z,112.64
28,2022-06-27T23:06:00Z,112.64
29,2022-06-27T23:07:00Z,112.64
30,2022-06-27T23:08:00Z,112.64
31,2022-06-27T23:09:00Z,112.64
32,2022-06-27T23:10:00Z,112.64
33,2022-06-27T23:11:00Z,112.64
34,2022-06-27T23:12:00Z,112.64
35,2022-06-27T23:13:00Z,112.64
36,2022-06-27T23:14:00Z,112.64
37,2022-06-27T23:15:00Z,112.64
38,2022-06-27T23:16:00Z,112.64
39,2022-06-27T23:17:00Z,112.64
40,2022-06-27T23:18:00Z,112.64
41,2022-06-27T23:19:00Z,112.64
42,2022-06-27T23:20:00Z,112.64
43,2022-06-27T23:21:00Z,112.64
44,2022-06-27T23:22:00Z,112.64
45,2022-06-27T23:23:00Z,112.64
46,2022-06-27T23:24:00Z,112.64
47,2022-06-27T23:25:00Z,112.64
48,2022-06-27T23:26:00Z,112.64
49,2022-06-27T23:27:00Z,112.64
50,2022-06-27T23:28:00Z,112.64
51,2022-06-27T23:29:00Z,112.64
52,2022-06-27T23:30:00Z,112.64
53,2022-06-27T23:31:00Z,112.64
54,2022-06-27T23:32:00Z,112.64
55,2022-06-27T23:33:00Z,112.64
56,2022-06-27T23:34:00Z,112.64
57,2022-06-27T23:35:00Z,112.64
58,2022-06-27T23:36:00Z,112.64
59,2022-06-27T23:37:00Z,112.64
60,2022-06-27T23:38:00Z,112.64
61,2022-06-27T23:39:00Z,112.64
62,2022-06-27T23:40:00Z,112.64
63,2022-06-27T23:41:00Z,112.64
64,2022-06-27T23:42:00Z,112.64
65,2022-06-27T23:43:00Z,112.64
66,2022-06-27T23:44:00Z,112.64
67,2022-06-27T23:45:00Z,112.64
68,2022-06-27T23:46:00Z,112.64
69,2022-06-27T23:47:00Z,112.64
70,2022-06-27T23:48:00Z,112.64
71,2022-06-27T23:49:00Z,112.64
72,2022-06-27T23:50:00Z,112.64
73,2022-06-27T23:51:00Z,112.64
74,2022-06-27T23:52:00Z,112.64
75,2022-06-27T23:53:00Z,112.64
76,2022-06-27T23:54:00Z,112.64
77,2022-06-27T23:55:00Z,112.64
78,2022-06-27T23:56:00Z,112.64
79,2022-06-27T23:57:00Z,112.64
80,2022-06-27T23:58:00Z,112.64
81,2022-06-27T23:59:00Z,112.64
82,2022-06-28T00:00:00Z,112.64
83,2022-06-28T00:01:00Z,112.64
84,2022-06-28T00:02:00Z,112.64
85,2022-06-28T00:03:00Z,112.64
86,2022-06-28T00:04:00Z,112.64
87,2022-06-28T00:05:00Z,112.64
88,2022-06-28T00:06:00Z,112.64
89,2022-06-28T00:07:00Z,112.64
90,2022-06-28T00:08:00Z,112.64
91,2022-06-28T00:09:00Z,112.64
92,2022-06-28T00:10:00Z,112.64
93,2022-06-28T00:11:00Z,112.64
94,2022-06-28T00:12:00Z,112.64
95,2022-06-28T00:13:00Z,112.64
96,2022-06-28T00:14:00Z,112.64
97,2022-06-28T00:15:00Z,112.64
98,2022-06-28T00:16:00Z,112.64
99,2022-06-28T00:17:00Z,112.64
100,2022-06-28T00:18:00Z,112.64
101,2022-06-28T00:19:00Z,112.64
102,2022-06-28T00:20:00Z,112.64
103,2022-06-28T00:21:00Z,112.64
104,2022-06-28T00:22:00Z,112.64
105,2022-06-28T00:23:00Z,112.64
106,2022-06-28T00:24:00Z,112.64
107,2022-06-28T00:25:00Z,112.64
108,2022-06-28T00:26:00Z,112.64
109,2022-06-28T00:27:00Z,112.64
110,2022-06-28T00:28:00Z,112.64
111,2022-06-28T00:29:00Z,112.64
112,2022-06-28T00:30:00Z,112.64
113,2022-06-28T00:31:00Z,112.64
114,2022-06-28T00:32:00Z,112.64
115,2022-06-28T00:33:00Z,112.64
116,2022-06-28T00:34:00Z,112.64
117,2022-06-28T00:35:00Z,112.64
118,2022-06-28T00:36:00Z,112.64
119,2022-06-28T00:37:00Z,112.64
120,2022-06-28T00:38:00Z,112.64
121,2022-06-28T00:39:00Z,112.64
122,2022-06-28T00:40:00Z,112.64
123,2022-06-28T00:41:00Z,112.64
124,2022-06-28T00:42:00Z,112.64
125,2022-06-28T00:43:00Z,112.64
126,2022-06-28T00:44:00Z,112.64
127,2022-06-28T00:45:00Z,112.64
128,2022-06-28T00:46:00Z,112.64
129,2022-06-28T00:47:00Z,112.64
130,2022-06-28T00:48:00Z,112.64
131,2022-06-28T00:49:00Z,112.64
132,2022-06-28T00:50:00Z,112.64
133,2022-06-28T00:51:00Z,112.64
134,2022-06-28T00:52:00Z,112.64
135,2022-06-28T00:53:00Z,112.64
136,2022-06-28T00:54:00Z,112.64
137,2022-06-28T00:55:00Z,112.64
138,2022-06-28T00:56:00Z,112.64
139,2022-06-28T00:57:00Z,112.64
140,2022-06-28T00:58:00Z,112.64
141,2022-06-28T00:59:00Z,112.64
142,2022-06-28T01:00:00Z,112.64
143,2022-06-28T01:01:00Z,112.64
144,2022-06-28T01:02:00Z,112.64
145,2022-06-28T01:03:00Z,112.64
146,2022-06-28T01:04:00Z,112.64
147,2022-06-28T01:05:00Z,112.64
148,2022-06-28T01:06:00Z,112.64
149,2022-06-28T01:07:00Z,112.64
150,2022-06-28T01:08:00Z,112.64
151,2022-06-28T01:09:00Z,112.64
152,2022-06-28T01:10:00Z,112.64
153,2022-06-28T01:11:00Z,112.64
154,2022-06-28T01:12:00Z,112.64
155,2022-06-28T01:13:00Z,112.64
156,2022-06-28T01:14:00Z,112.64
157,2022-06-28T01:15:00Z,112.64
158,2022-06-28T01:16:00Z,112.64
159,2022-06-28T01:17:00Z,112.64
160,2022-06-28T01:18:00Z,112.64
161,2022-06-28T01:19:00Z,112.64
162,2022-06-28T01:20:00Z,112.64
163,2022-06-28T01:21:00Z,112.64
164,2022-06-28T01:22:00Z,112.64
165,2022-06-28T01:23:00Z,112.64
166,2022-06-28T01:24:00Z,112.64
167,2022-06-28T01:25:00Z,112.64
168,2022-06-28T01:26:00Z,112.64
169,2022-06-28T01:27:00Z,112.64
170,2022-06-28T01:28:00Z,112.64
171,2022-06-28T01:29:00Z,112.64
172,2022-06-28T01:30:00Z,112.64
173,2022-06-28T01:31:00Z,112.64
174,2022-06-28T01:32:00Z,112.64
175,2022-06-28T01:33:00Z,112.64
176,2022-06-28T01:34:00Z,112.64
177,2022-06-28T01:35:00Z,112.64
178,2022-06-28T01:36:00Z,112.64
179,2022-06-28T01:37:00Z,112.64
180,2022-06-28T01:38:00Z,112.64
181,2022-06-28T01:39:00Z,112.64
182,2022-06-28T01:40:00Z,112.64
183,2022-06-28T01:41:00Z,112.64
184,2022-06-28T01:42:00Z,112.64
185,2022-06-28T01:43:00Z,112.64
186,2022-06-28T01:44:00Z,112.64
187,2022-06-28T01:45:00Z,112.64
188,2022-06-28T01:46:00Z,112.64
189,2022-06-28T01:47:00Z,112.64
190,2022-06-28T01:48:00Z,112.64
191,2022-06-28T01:49:00Z,112.64
192,2022-06-28T01:50:00Z,112.64
193,2022-06-28T01:51:00Z,112.64
194,2022-06-28T01:52:00Z,112.64
195,2022-06-28T01:53:00Z,112.64
196,2022-06-28T01:54:00Z,112.64
197,2022-06-28T01:55:00Z,112.64
198,2022-06-28T01:56:00Z,112.64
199,2022-06-28T01:57:00Z,112.64
200,2022-06-28T01:58:00Z,112.64
201,2022-06-28T01:59:00Z,112.64
202,2022-06-28T02:00:00Z,112.64
203,2022-06-28T02:01:00Z,112.64
204,2022-06-28T02:02:00Z,112.64
205,2022-06-28T02:03:00Z,112.64
206,2022-06-28T02:04:00Z,112.64
207,2022-06-28T02:05:00Z,112.64
208,2022-06-28T02:06:00Z,112.64
209,2022-06-28T02:07:00Z,112.64
210,2022-06-28T02:08:00Z,112.64
211,2022-06-28T02:09:00Z,112.64
212,2022-06-28T02:10:00Z,112.64
213,2022-06-28T02:11:00Z,112.64
214,2022-06-28T02:12:00Z,112.64
215,2022-06-28T02:13:00Z,112.64
216,2022-06-28T02:14:00Z,112.64
217,2022-06-28T02:15:00Z,112.64
218,2022-06-28T02:16:00Z,112.64
219,2022-06-28T02:17:00Z,112.64
220,2022-06-28T02:18:00Z,112.64
221,2022-06-28T02:19:00Z,112.64
222,2022-06-28T02:20:00Z,112.64
223,2022-06-28T02:21:00Z,112.64
224,2022-06-28T02:22:00Z,112.64
225,2022-06-28T02:23:00Z,112.64
226,2022-06-28T02:24:00Z,112.64
227,2022-06-28T02:25:00Z,112.64
228,2022-06-28T02:26:00Z,112.64
229,2022-06-28T02:27:00Z,112.64
230,2022-06-28T02:28:00Z,112.64
231,2022-06-28T02:29:00Z,112.64
232,2022-06-28T02:30:00Z,112.64
233,2022-06-28T02:31:00Z,112.64
234,2022-06-28T02:32:00Z,112.64
235,2022-06-28T02:33:00Z,112.64
236,2022-06-28T02:34:00Z,112.64
237,2022-06-28T02:35:00Z,112.64
238,2022-06-28T02:36:00Z,112.64
