,Date,RealE_SUM
494,2022-06-28T06:52:00Z,200580481.20042738
495,2022-06-28T06:53:00Z,200587189.77531657
496,2022-06-28T06:54:00Z,200593914.77668667
497,2022-06-28T06:55:00Z,200600631.5648165
498,2022-06-28T06:56:00Z,200607341.7823537
499,2022-06-28T06:57:00Z,200614050.35724288
500,2022-06-28T06:58:00Z,200620767.14537254
501,2022-06-28T06:59:00Z,200627475.72026172
502,2022-06-28T07:00:00Z,200633911.61556423
503,2022-06-28T07:01:00Z,200639877.71350688
504,2022-06-28T07:02:00Z,200646573.14721105
505,2022-06-28T07:03:00Z,200653281.72210023
506,2022-06-28T07:04:00Z,200660000.15287805
507,2022-06-28T07:05:00Z,200666710.37041527
508,2022-06-28T07:06:00Z,200673412.37471202
509,2022-06-28T07:07:00Z,200680054.6868467
510,2022-06-28T07:08:00Z,200686727.68030727
511,2022-06-28T07:09:00Z,200693432.96990025
512,2022-06-28T07:10:00Z,200700138.2594932
513,2022-06-28T07:11:00Z,200706863.26086333
514,2022-06-28T07:12:00Z,200713573.4784007
515,2022-06-28T07:13:00Z,200720277.12534547
516,2022-06-28T07:14:00Z,200727000.48406756
517,2022-06-28T07:15:00Z,200733429.80877763
518,2022-06-28T07:16:00Z,200738988.52998862
519,2022-06-28T07:17:00Z,200744481.5452747
520,2022-06-28T07:18:00Z,200749995.91498664
521,2022-06-28T07:19:00Z,200755502.07145762
522,2022-06-28T07:20:00Z,200761734.27839452
523,2022-06-28T07:21:00Z,200767900.77940673
524,2022-06-28T07:22:00Z,200773878.37588605
525,2022-06-28T07:23:00Z,200779895.3959199
526,2022-06-28T07:24:00Z,200785891.0615285
527,2022-06-28T07:25:00Z,200791940.9345247
528,2022-06-28T07:26:00Z,200798384.61220938
529,2022-06-28T07:27:00Z,200803998.3336059
530,2022-06-28T07:28:00Z,200809377.6442331
531,2022-06-28T07:29:00Z,200814766.30960205
532,2022-06-28T07:30:00Z,200820529.58226478
533,2022-06-28T07:31:00Z,200827157.66739652
534,2022-06-28T07:32:00Z,200833150.04770893
535,2022-06-28T07:33:00Z,200838590.49825552
536,2022-06-28T07:34:00Z,200844032.59145048
537,2022-06-28T07:35:00Z,200849474.68464527
538,2022-06-28T07:36:00Z,200855102.39707667
539,2022-06-28T07:37:00Z,200861456.1599737
540,2022-06-28T07:38:00Z,200867474.822656
541,2022-06-28T07:39:00Z,200873504.9838747
542,2022-06-28T07:40:00Z,200879556.74187708
543,2022-06-28T07:41:00Z,200885556.6476081
544,2022-06-28T07:42:00Z,200891529.76160702
545,2022-06-28T07:43:00Z,200897535.28310433
546,2022-06-28T07:44:00Z,200903526.02076852
547,2022-06-28T07:45:00Z,200909547.96874693
548,2022-06-28T07:46:00Z,200915568.27407694
549,2022-06-28T07:47:00Z,200921577.08087045
550,2022-06-28T07:48:00Z,200927599.028849
551,2022-06-28T07:49:00Z,200933630.83271587
552,2022-06-28T07:50:00Z,200939664.2792311
553,2022-06-28T07:51:00Z,200946035.05328056
554,2022-06-28T07:52:00Z,200951695.03400284
555,2022-06-28T07:53:00Z,200957565.8583548
556,2022-06-28T07:54:00Z,200963558.23866722
557,2022-06-28T07:55:00Z,200969550.61897945
558,2022-06-28T07:56:00Z,200975855.10243317
559,2022-06-28T07:57:00Z,200982520.96847153
560,2022-06-28T07:58:00Z,200989214.75952765
561,2022-06-28T07:59:00Z,200995913.47852802
562,2022-06-28T08:00:00Z,201002608.9122323
563,2022-06-28T08:01:00Z,201009307.63123283
564,2022-06-28T08:02:00Z,201015986.6384559
565,2022-06-28T08:03:00Z,201022215.5600964
566,2022-06-28T08:04:00Z,201028242.43601888
567,2022-06-28T08:05:00Z,201034569.91654614
568,2022-06-28T08:06:00Z,201040908.8956101
569,2022-06-28T08:07:00Z,201047456.49098438
570,2022-06-28T08:08:00Z,201054148.63939247
571,2022-06-28T08:09:00Z,201060797.68916845
572,2022-06-28T08:10:00Z,201067452.44645086
573,2022-06-28T08:11:00Z,201074144.59485894
574,2022-06-28T08:12:00Z,201080835.10061887
575,2022-06-28T08:13:00Z,201087528.89167482
576,2022-06-28T08:14:00Z,201094221.0400829
577,2022-06-28T08:15:00Z,201100914.83113918
578,2022-06-28T08:16:00Z,201107610.2648433
579,2022-06-28T08:17:00Z,201114315.5544363
580,2022-06-28T08:18:00Z,201121001.1322518
581,2022-06-28T08:19:00Z,201127681.78212303
582,2022-06-28T08:20:00Z,201134380.50112355
583,2022-06-28T08:21:00Z,201141077.5774759
584,2022-06-28T08:22:00Z,201147761.51264334
585,2022-06-28T08:23:00Z,201154453.66105145
586,2022-06-28T08:24:00Z,201161149.0947556
